K20,20127001,8,8,0,8
K20,20127002,5,0,2,0
K20,20127003,3,7,2,7
K20,20127004,5,7,1,7
K20,20127005,7,5,7,5
K20,20127006,6,1,8,1
K20,20127007,4,4,3,7
K20,20127008,3,9,1,10
K20,20127009,7,5,1,7
K20,20127010,10,6,7,6
K20,20127011,6,4,10,4
K20,20127012,2,0,3,3
K20,20127013,9,10,8,7
K20,20127014,8,8,0,8
K20,20127015,6,0,6,0
K20,20127016,5,2,4,2
K20,20127017,0,2,5,6
K20,20127018,2,1,3,7
K20,20127019,6,9,0,6
K20,20127020,0,3,2,4
K20,20127021,2,4,2,3
K20,20127022,7,7,1,7
K20,20127023,9,1,7,2
K20,20127024,7,3,1,3
K20,20127025,6,5,5,2
K20,20127026,5,1,10,0
K20,20127027,9,9,9,5
K20,20127028,3,1,2,4
K20,20127029,5,9,6,8
K20,20127030,3,5,5,8
K20,20127031,6,6,9,0
K20,20127032,7,1,8,1
K20,20127033,0,6,4,1
K20,20127034,8,10,10,0
K20,20127035,2,9,9,7
K20,20127036,3,1,6,9
K20,20127037,1,8,5,6
K20,20127038,7,3,5,2
K20,20127039,3,4,7,8
K20,20127040,5,8,4,6
K20,20127041,6,3,2,8
K20,20127042,0,9,9,1
K20,20127043,3,5,1,10
K20,20127044,8,9,7,9
K20,20127045,8,3,6,8
K20,20127046,8,8,8,9
K20,20127047,4,10,2,6
K20,20127048,0,8,9,1
K20,20127049,3,9,10,3
K20,20127050,2,4,7,5
K20,20127051,7,1,3,9
K20,20127052,7,8,8,8
K20,20127053,8,8,4,2
K20,20127054,3,3,10,4
K20,20127055,7,2,3,3
K20,20127056,9,10,10,6
K20,20127057,10,9,5,0
K20,20127058,6,4,1,1
K20,20127059,8,7,6,2
K20,20127060,4,9,4,8
K20,20127061,1,9,3,7
K20,20127062,3,5,0,10
K20,20127063,3,1,7,5
K20,20127064,9,7,7,5
K20,20127065,2,7,10,10
K20,20127066,1,8,2,6
K20,20127067,9,5,8,7
K20,20127068,7,6,7,5
K20,20127069,6,4,7,8
K20,20127070,5,4,5,2
K20,20127071,2,3,8,9
K20,20127072,4,4,2,8
K20,20127073,8,7,8,7
K20,20127074,3,0,4,2
K20,20127075,2,4,4,0
